claim_id,seccion,valor,unidad,valor_mostrado,fuente,campo_origen,transformacion,redondeo,estado
FV-1P2192_B1_FV30-NLOW,Resultados FV,0,filas,0,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B1_FV50-LOSS,Resultados FV,0.931,MW,"0,931 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B1_FV50-VBASE,Resultados FV,0.954820,p.u.,"0,954820 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-1P2192_B1_FV50-NLOW,Resultados FV,13,filas,13,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B5_FV15-LOSS,Resultados FV,0.678,MW,"0,678 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B5_FV15-VBASE,Resultados FV,0.959120,p.u.,"0,959120 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-1P2192_B5_FV15-NLOW,Resultados FV,4,filas,4,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B5_FV30-LOSS,Resultados FV,0.478,MW,"0,478 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B5_FV30-VBASE,Resultados FV,0.962960,p.u.,"0,962960 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-1P2192_B5_FV30-NLOW,Resultados FV,2,filas,2,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B5_FV50-LOSS,Resultados FV,0.290,MW,"0,290 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B5_FV50-VBASE,Resultados FV,0.967470,p.u.,"0,967470 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-1P2192_B5_FV50-NLOW,Resultados FV,0,filas,0,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B6_FV15-LOSS,Resultados FV,NR,MW,NR MW,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B6_FV15-VBASE,Resultados FV,0.963340,p.u.,"0,963340 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-1P2192_B6_FV15-NLOW,Resultados FV,1,filas,1,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B6_FV30-LOSS,Resultados FV,0.458,MW,"0,458 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B6_FV30-VBASE,Resultados FV,0.967510,p.u.,"0,967510 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-1P2192_B6_FV30-NLOW,Resultados FV,0,filas,0,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B6_FV50-LOSS,Resultados FV,0.305,MW,"0,305 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B6_FV50-VBASE,Resultados FV,0.971810,p.u.,"0,971810 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-1P2192_B6_FV50-NLOW,Resultados FV,0,filas,0,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
BESS-01-VBASE,Resultados BESS,0.9628,p.u.,"0,96280 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,v_min_base_pu,lectura directa/derivada auditada,5 decimales,APROBADO
BESS-01-LOADBASE,Resultados BESS,53.178,%,"53,178 %",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,max_loading_base_pct,lectura directa/derivada auditada,3 decimales,APROBADO
BESS-01-PLOSS,Resultados BESS,0.485,MW,"0,485 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,p_loss_base_mw,lectura directa/derivada auditada,3 decimales,APROBADO
BESS-01-QLOSS,Resultados BESS,1.81,MVAr,"1,81 MVAr",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,q_loss_base_mvar,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-01-ISLOAD,Resultados BESS,13.06,MW,"13,06 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,islanded_load_mw,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-01-ISGEN,Resultados BESS,0,MW,"0,00 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,islanded_gen_mw,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-02-VBASE,Resultados BESS,0.96373,p.u.,"0,96373 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,v_min_base_pu,lectura directa/derivada auditada,5 decimales,APROBADO
BESS-02-LOADBASE,Resultados BESS,48.014,%,"48,014 %",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,max_loading_base_pct,lectura directa/derivada auditada,3 decimales,APROBADO
BESS-02-PLOSS,Resultados BESS,0.654,MW,"0,654 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,p_loss_base_mw,lectura directa/derivada auditada,3 decimales,APROBADO
BESS-02-QLOSS,Resultados BESS,2.38,MVAr,"2,38 MVAr",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,q_loss_base_mvar,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-02-ISLOAD,Resultados BESS,13.06,MW,"13,06 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,islanded_load_mw,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-02-ISGEN,Resultados BESS,5.25,MW,"5,25 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,islanded_gen_mw,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-03-VBASE,Resultados BESS,0.96259,p.u.,"0,96259 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,v_min_base_pu,lectura directa/derivada auditada,5 decimales,APROBADO
BESS-03-LOADBASE,Resultados BESS,53.181,%,"53,181 %",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,max_loading_base_pct,lectura directa/derivada auditada,3 decimales,APROBADO
BESS-03-PLOSS,Resultados BESS,0.485,MW,"0,485 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,p_loss_base_mw,lectura directa/derivada auditada,3 decimales,APROBADO
BESS-03-QLOSS,Resultados BESS,1.83,MVAr,"1,83 MVAr",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,q_loss_base_mvar,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-03-ISLOAD,Resultados BESS,13.06,MW,"13,06 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,islanded_load_mw,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-03-ISGEN,Resultados BESS,0,MW,"0,00 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,islanded_gen_mw,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-04-VBASE,Resultados BESS,0.96352,p.u.,"0,96352 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,v_min_base_pu,lectura directa/derivada auditada,5 decimales,APROBADO
BESS-04-LOADBASE,Resultados BESS,48.021,%,"48,021 %",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,max_loading_base_pct,lectura directa/derivada auditada,3 decimales,APROBADO
BESS-04-PLOSS,Resultados BESS,0.654,MW,"0,654 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,p_loss_base_mw,lectura directa/derivada auditada,3 decimales,APROBADO
BESS-04-QLOSS,Resultados BESS,2.41,MVAr,"2,41 MVAr",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,q_loss_base_mvar,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-04-ISLOAD,Resultados BESS,13.06,MW,"13,06 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,islanded_load_mw,lectura directa/derivada auditada,2 decimales,APROBADO
BESS-04-ISGEN,Resultados BESS,5.25,MW,"5,25 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,islanded_gen_mw,lectura directa/derivada auditada,2 decimales,APROBADO
